
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:52:29 PM	100.0	285.724	NaN	17.714	NaN		27.568	NaN
5:52:38 PM	50.0	276.162	NaN	18.036	NaN		27.573	NaN
5:52:47 PM	0.0	265.988	NaN	18.395	NaN		27.575	NaN
5:52:56 PM	-50.0	252.491	NaN	18.904	NaN		27.554	NaN
5:53:05 PM	-100.0	239.969	NaN	19.404	NaN		27.546	NaN
5:53:14 PM	-150.0	228.576	NaN	19.886	NaN		27.543	NaN
5:53:23 PM	-200.0	219.964	NaN	20.277	NaN		27.511	NaN
5:53:32 PM	-250.0	215.260	NaN	20.493	NaN		27.515	NaN
5:53:40 PM	-300.0	211.630	NaN	20.663	NaN		27.520	NaN
5:53:49 PM	-350.0	210.266	NaN	20.729	NaN		27.517	NaN
5:53:58 PM	-400.0	209.464	NaN	20.772	NaN		27.499	NaN
5:54:07 PM	-450.0	209.274	NaN	20.777	NaN		27.516	NaN
5:54:16 PM	-500.0	208.822	NaN	20.789	NaN		27.556	NaN
5:54:25 PM	-550.0	209.270	NaN	20.760	NaN		27.586	NaN
5:54:34 PM	-600.0	209.205	NaN	20.771	NaN		27.554	NaN
5:54:43 PM	-650.0	209.012	NaN	20.783	NaN		27.543	NaN
5:54:52 PM	-700.0	208.963	NaN	20.780	NaN		27.565	NaN
5:55:01 PM	-750.0	209.111	NaN	20.778	NaN		27.544	NaN
5:55:10 PM	-800.0	208.320	NaN	20.805	NaN		27.590	NaN
5:55:19 PM	-850.0	208.860	NaN	20.783	NaN		27.573	NaN
5:55:28 PM	-900.0	208.745	NaN	20.792	NaN		27.559	NaN
5:55:37 PM	-950.0	209.044	NaN	20.780	NaN		27.549	NaN
5:55:46 PM	-1000.0	208.978	NaN	20.779	NaN		27.566	NaN
5:55:55 PM	-1050.0	209.104	NaN	20.770	NaN		27.578	NaN
5:56:04 PM	-1100.0	209.180	NaN	20.770	NaN		27.563	NaN
5:56:13 PM	-1150.0	209.277	NaN	20.768	NaN		27.552	NaN
5:56:22 PM	-1200.0	209.150	NaN	20.780	NaN		27.528	NaN
5:56:31 PM	-1250.0	209.480	NaN	20.757	NaN		27.557	NaN
5:56:40 PM	-1300.0	208.705	NaN	20.790	NaN		27.575	NaN
5:56:49 PM	-1350.0	209.063	NaN	20.771	NaN		27.582	NaN
5:56:58 PM	-1400.0	209.237	NaN	20.767	NaN		27.564	NaN
5:57:07 PM	-1450.0	208.919	NaN	20.774	NaN		27.598	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:59:35 PM	100.0	290.485	NaN	17.550	NaN		27.604	NaN
5:59:41 PM	50.0	280.152	NaN	17.894	NaN		27.597	NaN
5:59:48 PM	0.0	267.437	NaN	18.337	NaN		27.600	NaN
5:59:55 PM	-50.0	253.496	NaN	18.859	NaN		27.581	NaN
6:00:02 PM	-100.0	240.552	NaN	19.382	NaN		27.538	NaN
6:00:09 PM	-150.0	228.125	NaN	19.896	NaN		27.583	NaN
6:00:16 PM	-200.0	219.208	NaN	20.294	NaN		27.583	NaN
6:00:22 PM	-250.0	214.600	NaN	20.509	NaN		27.576	NaN
6:00:29 PM	-300.0	211.233	NaN	20.668	NaN		27.577	NaN
6:00:36 PM	-350.0	209.489	NaN	20.747	NaN		27.596	NaN
6:00:42 PM	-400.0	209.221	NaN	20.755	NaN		27.616	NaN
6:00:49 PM	-450.0	208.776	NaN	20.779	NaN		27.606	NaN
6:00:56 PM	-500.0	208.728	NaN	20.785	NaN		27.591	NaN
6:01:03 PM	-550.0	208.695	NaN	20.790	NaN		27.577	NaN
6:01:10 PM	-600.0	209.038	NaN	20.770	NaN		27.591	NaN
6:01:17 PM	-650.0	209.208	NaN	20.764	NaN		27.582	NaN
6:01:24 PM	-700.0	209.064	NaN	20.767	NaN		27.598	NaN
6:01:31 PM	-750.0	209.230	NaN	20.760	NaN		27.594	NaN
6:01:38 PM	-800.0	209.285	NaN	20.761	NaN		27.579	NaN
6:01:45 PM	-850.0	209.123	NaN	20.772	NaN		27.566	NaN
6:01:52 PM	-900.0	209.453	NaN	20.761	NaN		27.546	NaN
6:01:59 PM	-950.0	209.552	NaN	20.755	NaN		27.551	NaN
6:02:06 PM	-1000.0	209.076	NaN	20.776	NaN		27.559	NaN
6:02:13 PM	-1050.0	209.213	NaN	20.762	NaN		27.589	NaN
6:02:20 PM	-1100.0	208.920	NaN	20.772	NaN		27.606	NaN
6:02:27 PM	-1150.0	208.998	NaN	20.769	NaN		27.603	NaN
6:02:34 PM	-1200.0	209.366	NaN	20.750	NaN		27.608	NaN
6:02:41 PM	-1250.0	208.867	NaN	20.779	NaN		27.588	NaN
6:02:47 PM	-1300.0	209.339	NaN	20.754	NaN		27.597	NaN
6:02:54 PM	-1350.0	209.243	NaN	20.764	NaN		27.575	NaN
6:03:01 PM	-1400.0	208.851	NaN	20.792	NaN		27.538	NaN
6:03:08 PM	-1450.0	208.897	NaN	20.779	NaN		27.582	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	3	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:08:52 PM	100.0	299.877	NaN	17.259	NaN		27.572	NaN
6:08:59 PM	50.0	289.175	NaN	17.600	NaN		27.571	NaN
6:09:05 PM	0.0	276.688	NaN	18.019	NaN		27.568	NaN
6:09:12 PM	-50.0	262.986	NaN	18.506	NaN		27.568	NaN
6:09:19 PM	-100.0	248.016	NaN	19.078	NaN		27.556	NaN
6:09:25 PM	-150.0	235.087	NaN	19.602	NaN		27.566	NaN
6:09:32 PM	-200.0	224.859	NaN	20.043	NaN		27.569	NaN
6:09:39 PM	-250.0	217.204	NaN	20.390	NaN		27.567	NaN
6:09:45 PM	-300.0	212.545	NaN	20.610	NaN		27.559	NaN
6:09:52 PM	-350.0	210.499	NaN	20.707	NaN		27.561	NaN
6:09:59 PM	-400.0	209.206	NaN	20.768	NaN		27.566	NaN
6:10:06 PM	-450.0	208.690	NaN	20.791	NaN		27.574	NaN
6:10:13 PM	-500.0	208.551	NaN	20.796	NaN		27.581	NaN
6:10:20 PM	-550.0	208.507	NaN	20.793	NaN		27.602	NaN
6:10:26 PM	-600.0	208.638	NaN	20.793	NaN		27.576	NaN
6:10:33 PM	-650.0	208.612	NaN	20.796	NaN		27.569	NaN
6:10:39 PM	-700.0	208.138	NaN	20.818	NaN		27.573	NaN
6:10:46 PM	-750.0	208.375	NaN	20.807	NaN		27.571	NaN
6:10:52 PM	-800.0	208.169	NaN	20.817	NaN		27.571	NaN
6:10:59 PM	-850.0	207.988	NaN	20.827	NaN		27.566	NaN
6:11:05 PM	-900.0	208.339	NaN	20.808	NaN		27.574	NaN
6:11:12 PM	-950.0	207.973	NaN	20.828	NaN		27.565	NaN
6:11:18 PM	-1000.0	208.317	NaN	20.813	NaN		27.558	NaN
6:11:25 PM	-1050.0	208.321	NaN	20.814	NaN		27.553	NaN
6:11:31 PM	-1100.0	208.162	NaN	20.820	NaN		27.560	NaN
6:11:38 PM	-1150.0	208.864	NaN	20.786	NaN		27.560	NaN
6:11:44 PM	-1200.0	208.615	NaN	20.801	NaN		27.548	NaN
6:11:51 PM	-1250.0	208.678	NaN	20.796	NaN		27.556	NaN
6:11:57 PM	-1300.0	208.354	NaN	20.809	NaN		27.567	NaN
6:12:04 PM	-1350.0	208.341	NaN	20.815	NaN		27.545	NaN
6:12:10 PM	-1400.0	208.724	NaN	20.793	NaN		27.559	NaN
6:12:17 PM	-1450.0	208.368	NaN	20.812	NaN		27.552	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	4	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:26:33 PM	100.0	441.360	NaN	13.863	NaN		27.519	NaN
6:26:40 PM	50.0	423.632	NaN	14.202	NaN		27.532	NaN
6:26:46 PM	0.0	396.543	NaN	14.764	NaN		27.526	NaN
6:26:53 PM	-50.0	365.330	NaN	15.476	NaN		27.531	NaN
6:26:59 PM	-100.0	335.843	NaN	16.229	NaN		27.523	NaN
6:27:06 PM	-150.0	307.614	NaN	17.033	NaN		27.523	NaN
6:27:13 PM	-200.0	280.642	NaN	17.895	NaN		27.520	NaN
6:27:19 PM	-250.0	260.430	NaN	18.608	NaN		27.535	NaN
6:27:26 PM	-300.0	243.058	NaN	19.283	NaN		27.526	NaN
6:27:33 PM	-350.0	229.495	NaN	19.849	NaN		27.531	NaN
6:27:39 PM	-400.0	220.297	NaN	20.258	NaN		27.527	NaN
6:27:46 PM	-450.0	215.007	NaN	20.498	NaN		27.543	NaN
6:27:53 PM	-500.0	211.686	NaN	20.653	NaN		27.550	NaN
6:27:59 PM	-550.0	210.790	NaN	20.698	NaN		27.541	NaN
6:28:06 PM	-600.0	209.720	NaN	20.754	NaN		27.522	NaN
6:28:13 PM	-650.0	209.478	NaN	20.762	NaN		27.537	NaN
6:28:19 PM	-700.0	209.772	NaN	20.751	NaN		27.524	NaN
6:28:26 PM	-750.0	209.297	NaN	20.770	NaN		27.540	NaN
6:28:32 PM	-800.0	209.353	NaN	20.770	NaN		27.529	NaN
6:28:39 PM	-850.0	209.363	NaN	20.769	NaN		27.531	NaN
6:28:45 PM	-900.0	209.047	NaN	20.784	NaN		27.532	NaN
6:28:52 PM	-950.0	208.795	NaN	20.780	NaN		27.598	NaN
6:28:59 PM	-1000.0	209.359	NaN	20.767	NaN		27.540	NaN
6:29:05 PM	-1050.0	209.358	NaN	20.768	NaN		27.536	NaN
6:29:12 PM	-1100.0	208.928	NaN	20.790	NaN		27.531	NaN
6:29:18 PM	-1150.0	209.560	NaN	20.759	NaN		27.533	NaN
6:29:25 PM	-1200.0	209.239	NaN	20.774	NaN		27.535	NaN
6:29:31 PM	-1250.0	209.317	NaN	20.771	NaN		27.532	NaN
6:29:38 PM	-1300.0	209.498	NaN	20.763	NaN		27.529	NaN
6:29:44 PM	-1350.0	209.481	NaN	20.766	NaN		27.520	NaN
6:29:51 PM	-1400.0	209.647	NaN	20.759	NaN		27.516	NaN
6:29:57 PM	-1450.0	208.587	NaN	20.809	NaN		27.521	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	5	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:30:21 PM	100.0	435.558	NaN	13.967	NaN		27.548	NaN
6:30:28 PM	50.0	424.826	NaN	14.179	NaN		27.529	NaN
6:30:34 PM	0.0	404.125	NaN	14.602	NaN		27.526	NaN
6:30:41 PM	-50.0	379.404	NaN	15.148	NaN		27.516	NaN
6:30:47 PM	-100.0	348.884	NaN	15.885	NaN		27.530	NaN
6:30:54 PM	-150.0	319.806	NaN	16.675	NaN		27.521	NaN
6:31:00 PM	-200.0	289.434	NaN	17.602	NaN		27.525	NaN
6:31:07 PM	-250.0	263.579	NaN	18.498	NaN		27.509	NaN
6:31:13 PM	-300.0	246.095	NaN	19.160	NaN		27.531	NaN
6:31:20 PM	-350.0	232.285	NaN	19.731	NaN		27.523	NaN
6:31:26 PM	-400.0	223.548	NaN	20.112	NaN		27.525	NaN
6:31:33 PM	-450.0	213.732	NaN	20.561	NaN		27.530	NaN
6:31:39 PM	-500.0	210.700	NaN	20.704	NaN		27.534	NaN
6:31:46 PM	-550.0	211.028	NaN	20.691	NaN		27.523	NaN
6:31:53 PM	-600.0	209.653	NaN	20.755	NaN		27.531	NaN
6:32:00 PM	-650.0	209.477	NaN	20.764	NaN		27.529	NaN
6:32:07 PM	-700.0	209.777	NaN	20.752	NaN		27.519	NaN
6:32:13 PM	-750.0	209.311	NaN	20.771	NaN		27.533	NaN
6:32:20 PM	-800.0	209.551	NaN	20.758	NaN		27.539	NaN
6:32:26 PM	-850.0	208.903	NaN	20.790	NaN		27.536	NaN
6:32:33 PM	-900.0	209.219	NaN	20.774	NaN		27.539	NaN
6:32:39 PM	-950.0	209.628	NaN	20.756	NaN		27.532	NaN
6:32:46 PM	-1000.0	209.585	NaN	20.760	NaN		27.524	NaN
6:32:53 PM	-1050.0	209.296	NaN	20.772	NaN		27.532	NaN
6:33:00 PM	-1100.0	208.872	NaN	20.792	NaN		27.534	NaN
6:33:07 PM	-1150.0	209.362	NaN	20.771	NaN		27.523	NaN
6:33:13 PM	-1200.0	209.393	NaN	20.770	NaN		27.521	NaN
6:33:20 PM	-1250.0	209.393	NaN	20.771	NaN		27.517	NaN
6:33:27 PM	-1300.0	209.337	NaN	20.771	NaN		27.528	NaN
6:33:34 PM	-1350.0	209.545	NaN	20.760	NaN		27.532	NaN
6:33:40 PM	-1400.0	209.399	NaN	20.769	NaN		27.524	NaN
6:33:47 PM	-1450.0	209.161	NaN	20.779	NaN		27.530	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	6	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:34:09 PM	100.0	438.738	NaN	13.909	NaN		27.536	NaN
6:34:15 PM	50.0	429.891	NaN	14.083	NaN		27.513	NaN
6:34:22 PM	0.0	411.104	NaN	14.457	NaN		27.523	NaN
