Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/12/24,10:44:00 AM,850,356.119,NaN,15.366,NaN,,26.971,NaN
1,Light,4/12/24,10:44:06 AM,800,355.436,NaN,15.387,NaN,,26.952,NaN
1,Light,4/12/24,10:44:13 AM,750,354.142,NaN,15.412,NaN,,26.986,NaN
1,Light,4/12/24,10:44:19 AM,700,351.209,NaN,15.472,NaN,,27.05,NaN
1,Light,4/12/24,10:44:26 AM,650,349.372,NaN,15.532,NaN,,26.987,NaN
1,Light,4/12/24,10:44:33 AM,600,345.653,NaN,15.624,NaN,,27.002,NaN
1,Light,4/12/24,10:44:40 AM,550,343.562,NaN,15.665,NaN,,27.063,NaN
1,Light,4/12/24,10:44:47 AM,500,339.326,NaN,15.785,NaN,,27.021,NaN
1,Light,4/12/24,10:44:53 AM,450,335.055,NaN,15.897,NaN,,27.029,NaN
1,Light,4/12/24,10:45:00 AM,400,328.449,NaN,16.071,NaN,,27.055,NaN
1,Light,4/12/24,10:45:07 AM,350,325.135,NaN,16.18,NaN,,26.977,NaN
1,Light,4/12/24,10:45:13 AM,300,318.754,NaN,16.348,NaN,,27.034,NaN
1,Light,4/12/24,10:45:20 AM,250,312.641,NaN,16.536,NaN,,26.986,NaN
1,Light,4/12/24,10:45:27 AM,200,305.558,NaN,16.741,NaN,,27.014,NaN
1,Light,4/12/24,10:45:34 AM,150,297.492,NaN,16.99,NaN,,27.011,NaN
1,Light,4/12/24,10:45:41 AM,100,290.054,NaN,17.222,NaN,,27.032,NaN
1,Light,4/12/24,10:45:48 AM,50,281.568,NaN,17.501,NaN,,27.035,NaN
1,Light,4/12/24,10:45:54 AM,0,273.166,NaN,17.797,NaN,,26.999,NaN
1,Light,4/12/24,10:46:01 AM,-50,263.905,NaN,18.118,NaN,,27.039,NaN
1,Light,4/12/24,10:46:08 AM,-100,254.189,NaN,18.479,NaN,,27.045,NaN
1,Light,4/12/24,10:46:15 AM,-150,245.925,NaN,18.797,NaN,,27.062,NaN
1,Light,4/12/24,10:46:22 AM,-200,236.184,NaN,19.21,NaN,,26.996,NaN
1,Light,4/12/24,10:46:28 AM,-250,227.483,NaN,19.577,NaN,,27.017,NaN
1,Light,4/12/24,10:46:35 AM,-300,221.353,NaN,19.857,NaN,,26.987,NaN
1,Light,4/12/24,10:46:42 AM,-350,216.346,NaN,20.088,NaN,,26.981,NaN
1,Light,4/12/24,10:46:49 AM,-400,212.49,NaN,20.259,NaN,,27.022,NaN
1,Light,4/12/24,10:46:56 AM,-450,209.612,NaN,20.398,NaN,,27.017,NaN
1,Light,4/12/24,10:47:02 AM,-500,208.08,NaN,20.471,NaN,,27.022,NaN
1,Light,4/12/24,10:47:09 AM,-550,206.677,NaN,20.542,NaN,,27.012,NaN
1,Light,4/12/24,10:47:16 AM,-600,206.098,NaN,20.57,NaN,,27.014,NaN
1,Light,4/12/24,10:47:23 AM,-650,206.155,NaN,20.56,NaN,,27.043,NaN
1,Light,4/12/24,10:47:29 AM,-700,205.418,NaN,20.605,NaN,,27.008,NaN
1,Light,4/12/24,10:47:36 AM,-750,205.283,NaN,20.601,NaN,,27.051,NaN
1,Light,4/12/24,10:47:43 AM,-800,206.164,NaN,20.563,NaN,,27.029,NaN
1,Light,4/12/24,10:47:50 AM,-850,205.474,NaN,20.602,NaN,,27.009,NaN
1,Light,4/12/24,10:47:57 AM,-900,206.155,NaN,20.559,NaN,,27.047,NaN
1,Light,4/12/24,10:48:03 AM,-950,205.424,NaN,20.6,NaN,,27.027,NaN
1,Light,4/12/24,10:48:10 AM,-1000,205.439,NaN,20.6,NaN,,27.024,NaN
1,Light,4/12/24,10:48:17 AM,-1050,205.08,NaN,20.616,NaN,,27.031,NaN
1,Light,4/12/24,10:48:24 AM,-1100,206.067,NaN,20.572,NaN,,27.012,NaN
1,Light,4/12/24,10:48:31 AM,-1150,205.758,NaN,20.586,NaN,,27.017,NaN
1,Light,4/12/24,10:48:38 AM,-1200,206.139,NaN,20.565,NaN,,27.026,NaN
